cve,cwe,crate,repo,rustsec_id,advisory_date,commit_date,never_patched_upstream,audit_verdict,sheet_row
CVE-2021-29938,CWE-415,slice-deque,gnzlbg/slice_deque,RUSTSEC-2021-0047,2021-02-19,2019-11-29,yes,WRONG_COMMIT,216
CVE-2021-29937,CWE-908,telemetry,Yoric/telemetry.rs,RUSTSEC-2021-0046,2021-02-17,2021-03-29,yes,OK,217
CVE-2021-29935,CWE-416,rocket,rwf2/Rocket,RUSTSEC-2021-0044,2021-02-09,2021-02-09,no,OK,218
CVE-2021-29934,CWE-125,uu_od,uutils/coreutils,RUSTSEC-2021-0043,2021-02-17,2021-02-18,no,OK,219
CVE-2021-29932,CWE-770,parse_duration,zeta12ti/parse_duration,RUSTSEC-2021-0041,2021-03-18,2019-09-22,yes,WRONG_COMMIT,220
CVE-2021-29930,CWE-787,arenavec,ibabushkin/arenavec,RUSTSEC-2021-0040,2021-01-12,2019-07-28,yes,OK,221
CVE-2021-28306,CWE-476,fltk,fltk-rs/fltk-rs,RUSTSEC-2021-0038,2021-03-06,2021-02-23,no,OK,222
CVE-2021-28037,CWE-362,internment,droundy/internment,RUSTSEC-2021-0036,2021-03-03,2021-03-04,no,OK,223
CVE-2021-28036,CWE-119,quinn,quinn-rs/quinn,RUSTSEC-2021-0035,2021-03-04,2021-01-28,no,OK,224
CVE-2021-28034,CWE-415,stack_dst,thepowersgang/stack_dst-rs,RUSTSEC-2021-0033,2021-02-22,2021-02-23,no,OK,225
CVE-2021-28032,CWE-416,nano_arena,bennetthardwick/nano-arena,RUSTSEC-2021-0031,2021-01-31,2021-03-02,no,OK,227
CVE-2021-28031,CWE-415,scratchpad,okready/scratchpad,RUSTSEC-2021-0030,2021-02-18,2021-02-19,no,OK,228
CVE-2021-28030,CWE-908,truetype,bodoni/truetype,RUSTSEC-2021-0029,2021-02-17,2021-02-18,no,OK,229
CVE-2021-28028,CWE-415,toodee,antonmarsden/toodee,RUSTSEC-2021-0028,2021-02-19,2021-02-20,no,OK,230
CVE-2021-27671,CWE-79,comrak,kivikakk/comrak,RUSTSEC-2021-0026,2021-02-21,2021-02-12,no,OK,231
CVE-2021-26954,CWE-415,qwutils,qwertz19281/rust_utils,RUSTSEC-2021-0018,2021-02-03,2021-02-04,no,OK,234
CVE-2021-26953,CWE-908,postscript,bodoni/postscript,RUSTSEC-2021-0017,2021-01-30,2021-01-31,no,OK,235
CVE-2021-26952,CWE-908,ms3d,andrewhickman/ms3d,RUSTSEC-2021-0016,2021-01-26,2021-01-29,no,OK,236
CVE-2021-26951,CWE-787,calamine,tafia/calamine,RUSTSEC-2021-0015,2021-01-06,2021-02-03,no,WRONG_COMMIT,237
CVE-2021-26308,CWE-908,marc,blackbeam/rust-marc,RUSTSEC-2021-0014,2021-01-26,2021-01-27,no,OK,238
CVE-2021-26305,CWE-908,cdr,hrektts/cdr-rs,RUSTSEC-2021-0012,2021-01-02,2021-01-23,no,OK,239
CVE-2020-36441,CWE-362,abox,oberien/abox,RUSTSEC-2020-0121,2020-11-10,,no,SHA_NOT_FOUND,240
CVE-2020-36440,CWE-362,libsbc,mvertescher/libsbc-rs,RUSTSEC-2020-0120,2020-11-10,2021-01-22,no,OK,241
CVE-2020-36439,CWE-362,ticketed_lock,kvark/ticketed_lock,RUSTSEC-2020-0119,2020-11-17,2021-01-23,no,OK,242
CVE-2020-36437,CWE-362,conqueue,longshorej/conqueue,RUSTSEC-2020-0117,2020-11-24,2021-01-22,no,OK,243
CVE-2020-36211,CWE-662,gfwx,devolutions/gfwx-rs,RUSTSEC-2020-0104,2020-12-08,2020-12-08,no,OK,244
CVE-2020-36462,CWE-362,syncpool,Chopinsky/byte_buffer,RUSTSEC-2020-0142,2020-11-29,2020-12-03,no,OK,245
CVE-2020-36442,CWE-362,beef,maciejhirsz/beef,RUSTSEC-2020-0122,2020-10-28,2021-01-26,no,OK,246
CVE-2021-25905,CWE-908,bra,Enet4/bra-rs,RUSTSEC-2021-0008,2021-01-02,2021-01-03,no,OK,248
CVE-2020-36464,CWE-416,heapless,rust-embedded/heapless,RUSTSEC-2020-0145,2020-11-02,2021-03-02,no,WRONG_COMMIT,249
CVE-2020-35925,CWE-362,magnetic,johnshaw/magnetic,RUSTSEC-2020-0088,2020-11-29,2025-02-20,no,WRONG_COMMIT,250
CVE-2020-36438,CWE-362,tiny_future,KizzyCode/tiny_future-rust,RUSTSEC-2020-0118,2020-12-08,2020-12-08,no,OK,251
CVE-2020-36209,CWE-362,late-static,richard-w/late-static,RUSTSEC-2020-0102,2020-11-10,2020-11-12,no,OK,252
CVE-2021-28027,CWE-191,bam,,RUSTSEC-2021-0027,2021-01-07,2021-02-16,no,OK,253
CVE-2021-45704,CWE-362,metrics-util,metrics-rs/metrics,RUSTSEC-2021-0113,2021-04-07,2021-04-07,no,OK,254
CVE-2021-45681,CWE-787,derive-com-impl,connicpu/com-impl,RUSTSEC-2021-0083,2021-01-20,2021-01-22,no,OK,255
CVE-2021-38194,CWE-682,ark-r1cs-std,arkworks-rs/r1cs-std,RUSTSEC-2021-0075,2021-07-08,2021-07-06,no,OK,256
CVE-2021-28305,CWE-416,diesel,diesel-rs/diesel,RUSTSEC-2021-0037,2021-03-05,2021-03-05,no,OK,257
