id,repo,sha,date,cat,subject,files,nfiles,diff_lines,before_chars,after_chars,delta
tokio-rs__prost__c2290c07,tokio-rs/prost,c2290c07958c3b1c58622fa50c237e302c495123,2018-01-08,nonfix,Add ServiceGenerator::finalize (#65),prost-build/src/code_generator.rs|prost-build/src/lib.rs,2,20,2798,3047,249
tauri-apps__tauri__55453e84,tauri-apps/tauri,55453e8453d927b8197f1ba9f26fd944482938f7,2025-10-08,nonfix,enhance(cli): check mismatched packages in `info` (#14262),crates/tauri-cli/src/info/mod.rs|crates/tauri-cli/src/info/plugins.rs,2,11,2671,2925,254
NilsIrl__MozWire__acd6c836,NilsIrl/MozWire,acd6c83681094aff990c62d486e11f7e059a182c,2020-08-16,nonfix,Rephrase help messages,src/main.rs,1,12,5028,5356,328
gnzlbg__slice_deque__cadd25a8,gnzlbg/slice_deque,cadd25a82afa903dc38d6a9fca12018ae8fa86f8,2018-01-13,nonfix,re-enable the zst tests,src/lib.rs,1,44,595,1092,497
fitzgen__bumpalo__d65e7690,fitzgen/bumpalo,d65e7690a798c7d897fe8ac1df930b0dc0fd467f,2021-10-18,nonfix,Add `iter_allocated_chunks_raw()`,src/lib.rs,1,60,591,829,238
rustgd__glsl-layout__f4b19880,rustgd/glsl-layout,f4b1988026aefc4d3fd2ea2464aaccdacfe2596b,2019-08-17,nonfix,Port to latest proc-macro crates,glsl-layout-derive/src/lib.rs,1,38,3651,4000,349
http-rs__async-h1__8005e42c,http-rs/async-h1,8005e42c690901505293c27f4294b5906be90557,2020-02-04,nonfix,feat(client): insert host header,src/client.rs,1,16,1618,1975,357
rust-lang__git2-rs__210c661d,rust-lang/git2-rs,210c661d987b6835cc028b2acd2e08264ae9d1db,2023-12-31,nonfix,"tree: tests: Make the test tree have 8 entries, to allow more thorough testing",src/tree.rs,1,43,3098,3617,519
hrektts__cdr-rs__cd6fbdcd,hrektts/cdr-rs,cd6fbdcd5df08203b9a43d7588d9d18a07dd07e0,2018-12-06,nonfix,replace costly modulo operation by cheap bitmask operation,src/de.rs|src/ser.rs,2,22,1007,1523,516
whisperfish__rust-phonenumber__dbbcfe6c,whisperfish/rust-phonenumber,dbbcfe6cecd4059594754784836325f4fb60a5c0,2026-06-03,nonfix,Make test compliant with new country_id method,src/phone_number.rs,1,5,235,446,211
rustgd__glsl-layout__4eec6341,rustgd/glsl-layout,4eec6341e19e079799caba388df32d2d2e8f29ee,2022-07-30,nonfix,Allow to use glam types as uniform attrs directly,src/glam.rs|src/uniform.rs,2,42,335,846,511
otake84__messagepack-rs__9e7cbfad,otake84/messagepack-rs,9e7cbfadc746b7d0ca34d1355d358166cc6db2b2,2019-07-22,nonfix,Implement serialize for Value::UInt8,src/value.rs,1,12,910,1450,540
dalek-cryptography__curve25519-dalek__2e5363c6,dalek-cryptography/curve25519-dalek,2e5363c6792adbee6cff01641d9fa042f5d4de2e,2018-07-15,nonfix,Cleanup verification variable declarations.,src/ed25519.rs,1,32,1852,2065,213
dfinity__candid__a6a413dd,dfinity/candid,a6a413dd569640392aac1210ae07b2a4ec3a0d07,2020-11-05,nonfix,Implement CandidType for std::time::Duration (#133),rust/candid/src/types/impls.rs,1,45,1246,1318,72
Enet4__bra-rs__2b3c455f,Enet4/bra-rs,2b3c455fb3563e8259458275b4f6fd245dd69c47,2019-03-14,nonfix,Rewrite greedy reader's fill_buf,src/greedy.rs,1,16,696,893,197
maciejhirsz__beef__2c79c654,maciejhirsz/beef,2c79c654f0a86e39d1574e371360964fc9e652a7,2020-03-14,nonfix,Avoid pointer casting,src/lib.rs,1,27,408,472,64
fltk-rs__fltk-rs__eef4edb3,fltk-rs/fltk-rs,eef4edb3e6156141ab3be92ff5152caad419388a,2024-06-28,nonfix,try using weak_framework in build/link.rs,fltk-sys/build/link.rs,1,6,7051,7181,130
tmccombs__tls-listener__6205b840,tmccombs/tls-listener,6205b840e4393b0ed46438391ac9c88fa25fec58,2022-03-19,nonfix,Add `replace_acceptor_pin`,src/lib.rs,1,15,207,357,150
rust-embedded__heapless__f5a26c04,rust-embedded/heapless,f5a26c04c4bdfe932928ef7a284b052cee66ff1d,2020-05-09,nonfix,histbuf: replace slow modulo operatins,src/histbuf.rs,1,11,243,388,145
Cisco-Talos__clamav__16fadc2e,Cisco-Talos/clamav,16fadc2eab8929e41b15600f64e80778fbe938e4,2024-07-08,nonfix,Added check for empty data,libclamav_rust/src/alz.rs|libclamav_rust/src/scanners.rs,2,10,1418,1477,59
apache__arrow-rs__078cf60f,apache/arrow-rs,078cf60f40ead9321c2facf8c31bc1b142d2816c,2026-06-28,nonfix,nit: arrow-pyarrow: Use string interning (#10224),arrow-pyarrow/src/lib.rs,1,72,3261,3437,176
jtgeibel__conduit-hyper__f0e4551b,jtgeibel/conduit-hyper,f0e4551b2bd68e8a242bab4ac52f5bd89b6a9d95,2019-08-21,nonfix,Switch to `tower_service` to be compatible with hyper master,src/lib.rs|src/tests.rs,2,11,1022,1077,55
RustCrypto__signatures__57a7cd75,RustCrypto/signatures,57a7cd75190a99e9fd2b064edbd215b2d15b9482,2026-06-06,nonfix,feat(ml-dsa): expose c_tilde getter on Signature (#1362),ml-dsa/src/lib.rs,1,5,372,453,81
stepancheg__rust-protobuf__35d451ac,stepancheg/rust-protobuf,35d451acff929fd2be5bea58934f64234bfb0373,2022-04-30,nonfix,Remove another function from rt,protobuf/src/reflect/dynamic/mod.rs|protobuf/src/rt/mod.rs,2,12,2389,2555,166
tokio-rs__mio__2e267a57,tokio-rs/mio,2e267a5773aa547260ffbf742d10ca03e5cf0fc2,2026-07-07,nonfix,Support NuttX (#1966),src/poll.rs|src/sys/unix/mod.rs|src/sys/unix/pipe.rs|src/sys/unix/tcp.rs,4,9,4916,4974,58
tokio-rs__slab__09cbd959,tokio-rs/slab,09cbd959298ab7a625fb19adb84f58b75e047a9f,2023-02-19,nonfix,Restructure early break in `recreate_vacant_list()` (#132),src/lib.rs,1,10,736,814,78
RustCrypto__signatures__91ab5ce0,RustCrypto/signatures,91ab5ce0ec6d028173e423e6972394d2ce8f4021,2026-07-16,nonfix,slh-dsa: replace num-bigint with crypto-bigint (#1422),slh-dsa/src/util.rs,1,9,588,677,89
nix-rust__nix__8db07014,nix-rust/nix,8db07014f499fb81557b1314b10f904b0142a48e,2023-12-11,nonfix,sys::mman adding MMAP_TRYFIXED for netbsdlike platforms. (#2260),src/sys/mman.rs,1,4,5135,5317,182
robbepop__string-interner__e739d019,robbepop/string-interner,e739d019fc6e66b159b9abc62bcb69516e8a0d40,2020-07-12,nonfix,remove some duplicated code,src/interner.rs|src/iter.rs|src/symbol.rs,3,25,1325,1382,57
rosenpass__rosenpass__109d6242,rosenpass/rosenpass,109d62422766db9ad1dc85c3e756d94417aec406,2023-12-07,nonfix,SID specific cookie storage,rosenpass/src/protocol.rs,1,36,8872,9021,149
RustCrypto__AEADs__f0f102e9,RustCrypto/AEADs,f0f102e904113f2de9085fbd53c322d8845681fb,2023-10-14,nonfix,aes-siv: generic nonce sizes for SivAead (#555),aes-siv/src/lib.rs,1,32,2396,2545,149
fastly__lucet__957c12a1,fastly/lucet,957c12a1e6a37c171478ddb542fe6eb6e28a5dfa,2020-03-13,nonfix,misc polish,lucet-runtime/lucet-runtime-internals/src/instance.rs|lucet-runtime/lucet-runtime-internals/src/instance/execution.rs,2,92,5437,5506,69
tokio-rs__axum__c486cc82,tokio-rs/axum,c486cc8207a98a015aca76cb84f26ab1c6940d83,2024-01-04,nonfix,"Implement `TypedPath` for `WithRejection<TypedPath, _>` (#2491)",axum-extra/src/extract/with_rejection.rs|axum-extra/src/routing/typed.rs,2,53,578,754,176
johnshaw__magnetic__97d42ee6,johnshaw/magnetic,97d42ee6f20bac4e128a2f17ffcc559d54977714,2022-07-24,nonfix,Add blanket Buffer impl for &mut T and Box<T>,src/buffer/mod.rs,1,28,694,793,99
paritytech__libsecp256k1__dfac819b,paritytech/libsecp256k1,dfac819bdda09036ab49d8e87e0f34f6d7098885,2017-11-16,nonfix,Add top-level verify and recover fn,src/lib.rs,1,8,218,385,167
jtgeibel__conduit-hyper__2dcd375c,jtgeibel/conduit-hyper,2dcd375c9be0dbfd8aa0158f90ac8878ba8130ff,2019-10-29,nonfix,Spawn a new task for blocking work,src/lib.rs,1,10,744,938,194
Yoric__telemetry.rs__e61fee75,Yoric/telemetry.rs,e61fee752d9abc87de8c0edf46c5bffabb2b3049,2015-10-09,nonfix,Now with a thread,src/telemetry/mod.rs,1,7,465,664,199
dimforge__nalgebra__5e10ca46,dimforge/nalgebra,5e10ca46cbbf9e6b5c68b26d4b3570669650db7b,2022-02-15,nonfix,Add another case for when eigenvalues should be mapped to zero. Make method private,nalgebra-lapack/src/generalized_eigenvalues.rs,1,14,589,751,162
dfinity__candid__b9d6cbff,dfinity/candid,b9d6cbff7bef73431b3b9573abcfbad9d4a6f9e2,2023-05-23,nonfix,support custom candid path for export_service (#421),rust/candid_derive/src/func.rs|rust/candid_derive/src/lib.rs,2,12,2885,3023,138
rust-lang__cargo__0e8fefa2,rust-lang/cargo,0e8fefa210ebb570ecb035fede0344d2386c551a,2025-12-05,nonfix,refactor(compile): Pull out search path creation,src/cargo/core/compiler/mod.rs,1,66,4036,4196,160
apache__incubator-teaclave-sgx-sdk__196ef144,apache/incubator-teaclave-sgx-sdk,196ef144da7113d7b1c32eb7fa46135674948e50,2022-03-29,nonfix,feat: new feature gate `initenv` to disable env ocalls on demand,sgx_tstd/src/rt.rs|sgx_tstd/src/sys/mod.rs,2,49,1175,1307,132
gnzlbg__slice_deque__2cdc094e,gnzlbg/slice_deque,2cdc094e06c3943d16eb62c2677addb02260ab55,2018-10-14,nonfix,formatting,src/lib.rs,1,14,1826,1898,72
alloy-rs__core__139a664b,alloy-rs/core,139a664b4b48ac8cabe114842726250f96768a0e,2025-09-26,nonfix,chore: tweak postgres.rs (#1018),crates/primitives/src/postgres.rs,1,38,477,587,110
nvzqz__fruity__90c69f75,nvzqz/fruity,90c69f755f65f37fbbb83ddb57ed202304280cda,2022-04-08,nonfix,Make `objc::ClassType::class` safe by default,src/objc/class_type.rs|src/objc/macros.rs,2,30,290,408,118
AsfhtgkDavid__theshit__31036c4a,AsfhtgkDavid/theshit,31036c4ac869fdcf5f4457b516ea2cb4e10302d3,2026-02-26,nonfix,refactor: Move get aliases outside fn,src/shells/bash.rs|src/shells/fish.rs|src/shells/generic.rs|src/shells/zsh.rs,4,30,3613,3701,88
bytecodealliance__cap-std__2a0cb7a9,bytecodealliance/cap-std,2a0cb7a950cd569f188ec96ee04b5c9bc16f3a5e,2023-02-03,nonfix,Update to windows-sys 0.45. (#294),cap-primitives/src/windows/fs/reopen_impl.rs,1,6,2556,2694,138
rust-ammonia__ammonia__eeebed04,rust-ammonia/ammonia,eeebed0428cd6d575092a413949abe8da402d6a8,2015-09-04,nonfix,"Update to latest html5ever, and push to Crates.IO.",src/lib.rs,1,8,4886,4952,66
tokio-rs__slab__b68a2ac4,tokio-rs/slab,b68a2ac4003e2866198de584d42e9564298d0cea,2021-08-09,nonfix,Add alternate debug output for listing items in the slab (#108),src/lib.rs,1,12,207,337,130
diem__diem__5762f4f9,diem/diem,5762f4f9b3910897d03ccdc6e1f28f37c7f587bf,2021-07-19,nonfix,[move-prover] add ResourceDomain for type instantiation,language/move-model/src/ty.rs,1,5,2479,2622,143
stellar__rs-stellar-strkey__22bc4e53,stellar/rs-stellar-strkey,22bc4e53dbcc3878eef086816c09d188d2d3c194,2024-09-03,nonfix,Change the base32 lib to data-encoding (#65),src/convert.rs,1,11,1310,890,-420
ibabushkin__arenavec__4b38dbbb,ibabushkin/arenavec,4b38dbbbf4c1275d9652edeb59099ae9ba217911,2019-07-29,nonfix,Added `SliceVec::split_off`.,src/common.rs,1,24,5844,419,-5425
waycrate__swhkd__f77fb604,waycrate/swhkd,f77fb6049b1d6c4bb88d2f71103e0e59fbdd7ed4,2022-01-23,nonfix,[update] Remove clap from server.rs,src/server.rs,1,20,3103,2677,-426
hyperium__hyper__be18a92b,hyperium/hyper,be18a92bb51498a2113dcfe15d9da09e1c6c7b0d,2025-11-25,nonfix,refactor(http1): replace many args of Chunked::step with struct (#3982),src/proto/h1/decode.rs,1,92,8132,7704,-428
rust-embedded__heapless__34def0f9,rust-embedded/heapless,34def0f98f0f3a697e92b9cde15143faeddd38d4,2018-06-10,nonfix,Added Consumer::ready and Producer::ready indicating if it is ready to enqueue/dequeue.,src/ring_buffer/mod.rs|src/ring_buffer/spsc.rs,2,51,4520,1808,-2712
alloy-rs__core__7fbd34b4,alloy-rs/core,7fbd34b431d8f8593f7fb6500056ca9a62d34917,2025-05-01,nonfix,feat: added standalone format_units_with (#947),crates/primitives/src/utils/mod.rs|crates/primitives/src/utils/units.rs,2,21,1250,359,-891
metrics-rs__metrics__ff4795e7,metrics-rs/metrics,ff4795e74fbe97eb51bf2061961ea2f430222431,2020-10-17,nonfix,Add a const constructor for KeyData (#106),metrics/src/key.rs,1,10,1597,175,-1422
reem__rust-ordered-float__2d6c541d,reem/rust-ordered-float,2d6c541decb5e57800dcfd44e9705a94c31e098e,2022-11-06,nonfix,Add support for bytemuck,src/lib.rs,1,40,2887,462,-2425
jeromefroe__lru-rs__066d9bff,jeromefroe/lru-rs,066d9bffefba45945ee488481357ae9fdf5eb6a6,2025-01-23,nonfix,Add peek_mru pop_mru,src/lib.rs,1,127,922,3558,2636
sodiumoxide__sodiumoxide__1c3d7ad2,sodiumoxide/sodiumoxide,1c3d7ad2bd3e98350e3e18a52adb74207f8f0f38,2014-12-03,nonfix,libsodium-sys: added stream constant and tests for stream constants,libsodium-sys/lib.rs,1,127,1350,4535,3185
alloy-rs__core__9a19cded,alloy-rs/core,9a19cded6af89c5f66c72aabde6e27af26cda42c,2026-03-25,nonfix,perf: add Token::decode_many_from for batch decoding (#1089),crates/sol-types/src/abi/token.rs|crates/sol-types/src/impl_core.rs,2,143,2225,3789,1564
acw__simple_asn1__47a5140b,acw/simple_asn1,47a5140bf29abf33e143bc6d53322eeb4979d686,2019-12-13,nonfix,feat(as_raw) impl as_raw for OID,src/lib.rs,1,112,272,4029,3757
rust-vmm__vm-memory__68e1cc6d,rust-vmm/vm-memory,68e1cc6d470aacaff87696b1a48ec21f1a3eec5d,2020-09-20,nonfix,Optimize copy_to/from() for u8/i8 slice,src/volatile_memory.rs,1,114,2518,4631,2113
RustCrypto__signatures__393d4e0c,RustCrypto/signatures,393d4e0c4f88db462f07c332aa703c3879efe2b7,2025-09-01,nonfix,ml-dsa: Add support for external mu (#1023),ml-dsa/src/lib.rs,1,118,3035,5317,2282
rust-lang__regex__f7da828a,rust-lang/regex,f7da828ab0f9a9bd4a664fbb06378231b7e0d4f5,2023-04-17,nonfix,syntax: simplify single char alternations,regex-syntax/src/debug.rs|regex-syntax/src/hir/mod.rs|regex-syntax/src/hir/print.rs|regex-syntax/src/hir/translate.rs,4,138,5126,7822,2696
okready__scratchpad__6c4faab1,okready/scratchpad,6c4faab11b0cafdb079ee07b705407c230705de6,2018-04-29,nonfix,Add `Marker::concat()`,src/lib.rs,1,106,7692,9407,1715
trillium-rs__trillium__f427b715,trillium-rs/trillium,f427b715b89342b562e6d2b8f83514b704e77048,2026-06-21,nonfix,perf(http): improve Buffer,http/src/buffer.rs,1,82,309,3404,3095
constantoine__totp-rs__bacf1c4f,constantoine/totp-rs,bacf1c4fb4d407879af640eed4a0f4e449e16ec7,2022-05-05,nonfix,"Switch to qrcodegen, and update image dependency",src/lib.rs,1,77,959,3079,2120
CosmWasm__cosmwasm__8c07f47d,CosmWasm/cosmwasm,8c07f47d0ded535d566bf48549365a04a0f9f6d4,2022-09-12,nonfix,schema-derive: support unit-like enum variants,packages/schema/src/query_response.rs,1,54,1702,3369,1667
metrics-rs__metrics__bec950f0,metrics-rs/metrics,bec950f069cd91d766fc8e227b71edf0edebb362,2026-03-12,nonfix,feat(metrics-util): Expose true count and sum on Drain for reservoir sampling (#681),metrics-util/src/storage/reservoir.rs,1,107,1380,3891,2511
libp2p__rust-libp2p__f096394f,libp2p/rust-libp2p,f096394fe5af787565c35113d51b3aad20502590,2025-01-07,nonfix,feat(request-response): allow custom sizes for `json` and `cbor` codec,protocols/request-response/src/cbor.rs|protocols/request-response/src/json.rs,2,78,1952,3685,1733
hyperium__tonic__e0ea5d09,hyperium/tonic,e0ea5d09c70f453f29efd2496a48f439b02c1d3f,2025-04-23,nonfix,feat: preserve request user-agent (#2250),tonic/src/transport/channel/service/user_agent.rs,1,93,579,2354,1775
AsfhtgkDavid__theshit__882fc5bb,AsfhtgkDavid/theshit,882fc5bb20bd8fe64806261f1553df564e42b819,2026-02-27,nonfix,test: Add tests for find_shell,src/shells/helpers.rs,1,125,457,4106,3649
shadowsocks__crypto2__773d32d4,shadowsocks/crypto2,773d32d4822ff0e13c8cd86c6ad44b1afa0c6cc8,2020-12-30,nonfix,Update src/blockmode/siv.rs,src/blockmode/siv.rs,1,119,6425,9867,3442
rusqlite__rusqlite__3baf7b10,rusqlite/rusqlite,3baf7b10f81befb6d338e9867dfa29150aa83e0d,2015-12-11,nonfix,Add unit test demonstrating a closure-based UDF.,src/functions.rs,1,73,2928,5098,2170
rusqlite__rusqlite__b9ab3350,rusqlite/rusqlite,b9ab3350eaea7a861b861e3e92e7fb6c0aaf2290,2015-08-09,nonfix,Add regexp() function implementation,src/functions.rs|src/lib.rs|src/types.rs,3,129,1980,3791,1811
fadeevab__cocoon__021b1a2e,fadeevab/cocoon,021b1a2eabdf2cd4b286371b2818f505aab435f1,2020-08-29,nonfix,Add cipher support to MiniCocoon,src/mini.rs,1,105,4565,6832,2267
skytable__skytable__02628d6f,skytable/skytable,02628d6ff33c94de025e94cdb1b711dc054a5bcf,2021-09-07,nonfix,Add `REMOVE` subaction to `lmod`,server/src/actions/lists/mod.rs,1,38,1867,3373,1506
reem__rust-ordered-float__696f5ef7,reem/rust-ordered-float,696f5ef711eb1607280529260e5e325cb6fe25f4,2021-05-24,nonfix,Implement traits from the 'rand' crate.,src/lib.rs,1,151,181,2446,2265
alloy-rs__core__8e752b74,alloy-rs/core,8e752b74351c4629876789f92fbe9610abd00c7e,2026-05-25,nonfix,feat: keccak cache stats (#1114),crates/primitives/src/utils/keccak_cache.rs|crates/primitives/src/utils/mod.rs,2,122,551,2625,2074
BurntSushi__ripgrep__5e2d32fe,BurntSushi/ripgrep,5e2d32fe7f3b7dcf768ffc1264dabe83e00ccaec,2025-09-19,nonfix,printer: slightly simplify code,crates/printer/src/standard.rs,1,6,605,557,-48
crossbeam-rs__crossbeam__d3fbfc3d,crossbeam-rs/crossbeam,d3fbfc3da460d594eab5dea775ddeef8b9e35efb,2018-10-03,nonfix,Remove unnecesary read,src/flavors/list.rs,1,4,1297,1291,-6
briansmith__ring__f2f531a4,briansmith/ring,f2f531a450a13fb78125750bb37138b3b58836a3,2025-07-28,nonfix,arithmetic internals: Derive aliasing const pointer from mut explicitly.,src/arithmetic/bigint.rs|src/arithmetic/inout.rs|src/arithmetic/montgomery.rs,3,29,911,880,-31
CosmWasm__cosmwasm__41632e07,CosmWasm/cosmwasm,41632e0745100ee9e39f2fd317d55e7b97e924c6,2024-04-24,nonfix,Update packages/derive/src/lib.rs,packages/derive/src/lib.rs,1,8,2384,2348,-36
lettre__lettre__6afc0785,lettre/lettre,6afc078545fbc1288a73aa19796f81fdbaa7e705,2020-10-19,nonfix,Avoid boxing the rustls stream (#486),src/transport/smtp/client/async_net.rs|src/transport/smtp/client/net.rs,2,18,5551,5506,-45
websockets-rs__rust-websocket__d93d3eca,websockets-rs/rust-websocket,d93d3ecad38d2d4fc3e33d554616cece8345b0f8,2020-01-06,nonfix,Replace sha1 crate with sha-1,websocket-base/src/header.rs,1,8,366,317,-49
nvzqz__fruity__92dfabe7,nvzqz/fruity,92dfabe76572c2e452ced76c47c55f64ad2ac333,2020-09-23,nonfix,Implement `NSString` comparison against `str`,src/foundation/ns_string/mod.rs,1,153,214,208,-6
briansmith__ring__4917a483,briansmith/ring,4917a48366f4e885b4949fb2dc2e7df1d2d949ce,2026-03-21,nonfix,ec internals: Make P-384 scalar inversion slightly more efficient.,src/ec/suite_b/ops/p384.rs,1,71,4517,4475,-42
rwf2__Rocket__8058798a,rwf2/Rocket,8058798a4c479557f2d9a4698e7b1e4747932e3c,2021-07-02,nonfix,Properly propagate profile to 'Config' on ignite.,core/lib/src/config/config.rs|core/lib/src/rocket.rs,2,19,8223,8181,-42
Yoric__telemetry.rs__befef042,Yoric/telemetry.rs,befef0429f5e34ed4a60996c0819501d05dfa622,2015-10-10,nonfix,Flatten is not generic anymore,src/telemetry/mod.rs,1,16,1834,1814,-20
websockets-rs__rust-websocket__570d8608,websockets-rs/rust-websocket,570d860834d34deb694aeb8345c2da6a48314be0,2017-05-22,nonfix,Added default constructors for codecs.,src/codec.rs,1,20,1143,1105,-38
dfinity__candid__1c383a7e,dfinity/candid,1c383a7e87091ce344c6a4f0da1bd07bdf553d92,2023-08-30,nonfix,remove arc_type feature (#463),rust/candid/src/types/internal.rs,1,14,2995,2992,-3
cloudflare__pingora__d9e6d7a3,cloudflare/pingora,d9e6d7a3a3cf17c91bbc8098a335a0bc24736f0c,2026-06-03,nonfix,Use valid paths in header serialization tests,pingora-http/src/lib.rs,1,4,4414,4412,-2
nabijaczleweli__safe-transmute-rs__9b8fc577,nabijaczleweli/safe-transmute-rs,9b8fc577cf60f269faeae62801d0d9405e10fc86,2019-04-24,nonfix,Formatting and redundancy,src/error.rs,1,17,823,778,-45
tiby312__reorder__8ff438a9,tiby312/reorder,8ff438a96b5e5b9af762e65a708c5bfdf60a73fe,2021-04-14,nonfix,simplify api,src/lib.rs,1,26,903,901,-2
okready__scratchpad__5b2e181e,okready/scratchpad,5b2e181ecca10fe5fbe79124280ff8ec7d8dfc6d,2018-04-30,nonfix,Remove `'t` lifetime parameter from `Allocation`,src/lib.rs,1,139,2208,2161,-47
RustCrypto__AEADs__00c42304,RustCrypto/AEADs,00c42304b3c865f97c4a27e4b160eaa8404e02d1,2022-07-20,nonfix,Replace `Choice::unwrap_u8` calls with `Into` (#441),aes-gcm/src/lib.rs|ccm/src/lib.rs|eax/src/lib.rs|eax/src/online.rs,4,18,4362,4319,-43
robbepop__string-interner__1180394a,robbepop/string-interner,1180394ad524bc15a525a00af3374e2bafde0d28,2020-07-15,nonfix,ignore faulty memory consumption tests by default,src/tests.rs,1,5,1906,1904,-2
fltk-rs__fltk-rs__b5f80d91,fltk-rs/fltk-rs,b5f80d9113c0d75a8760ab3371aa732020f4daca,2025-02-25,nonfix,update formatting,fltk/src/draw/routines.rs|fltk/src/group.rs,2,10,265,238,-27
BurntSushi__ripgrep__a60e62d9,BurntSushi/ripgrep,a60e62d9ac559b1468d4dd27b80a7b662a600e0c,2025-09-19,nonfix,rust: move to Rust 2024,crates/core/flags/hiargs.rs|crates/printer/src/hyperlink/mod.rs|crates/regex/src/ban.rs,3,10,6537,6528,-9
robbepop__string-interner__0d19f933,robbepop/string-interner,0d19f933d848a7068083d429a6b04a7534821d49,2021-03-19,nonfix,remove S: Symbol trait bound from interner backends,src/backend/bucket/mod.rs|src/backend/simple.rs,2,10,1116,1074,-42
tafia__calamine__72149533,tafia/calamine,721495337339720be5fb633743188a74c0c5b5fa,2017-02-06,nonfix,implement inlineStr cell content parsing,src/xlsx.rs,1,133,3284,8013,4729
AsfhtgkDavid__theshit__0fc1b4f7,AsfhtgkDavid/theshit,0fc1b4f701171346848fd4f3b3faa967442108fb,2025-08-22,nonfix,Implement timeout functionality for command execution,src/fix.rs,1,128,4720,9025,4305
matrix-org__matrix-rust-sdk__621d936b,matrix-org/matrix-rust-sdk,621d936b4c6e9a256a0d461b778b8c7c753e1fd6,2025-11-07,nonfix,feat(redecryptor): Let the redecryptor listen to room key withheld updates,crates/matrix-sdk/src/event_cache/redecryptor.rs,1,138,5082,9254,4172
RustCrypto__RSA__b513ee39,RustCrypto/RSA,b513ee399837ba38796a6336d9e1501c2c0e195e,2023-11-11,nonfix,Deterministic implementation of prime factors recovery (#380),src/algorithms/rsa.rs|src/errors.rs|src/key.rs,3,104,3355,7633,4278
uutils__coreutils__621dde69,uutils/coreutils,621dde69a4c8c42e4cab253522eba1d0da29bedf,2026-08-30,nonfix,ln: clarify exclusive pattern,src/uu/ln/src/ln.rs,1,31,1263,1108,-155
ogham__rust-users__1c7d73c0,ogham/rust-users,1c7d73c01c7218cfaab7e4529e34b92a6b2331d0,2016-01-28,nonfix,Move *all* the OS functionality inside modules,src/base.rs,1,140,2357,2077,-280
thepowersgang__stack_dst-rs__73d2da44,thepowersgang/stack_dst-rs,73d2da44f7e9679688f2358450808e9779b6e341,2020-01-26,nonfix,replace some 'match' stmts with idiomatic method calls,src/stack.rs|src/value/mod.rs,2,52,1768,1358,-410
tokio-rs__slab__5476efca,tokio-rs/slab,5476efcafbc5ef4d7315b1bea3f756d8a1fe975e,2016-06-20,nonfix,Replace Index w/ From & Into,src/lib.rs,1,78,2756,2634,-122
thepowersgang__stack_dst-rs__2c855ff6,thepowersgang/stack_dst-rs,2c855ff6152cc81eba58a52536a53d80325e115d,2024-02-25,bugfix,Value Impls - Add `Iterator::size_hint` forward and a few others (fixes #13),src/value/trait_impls.rs,1,21,164,479,315
mersinvald__autorand-rs__cdb4b324,mersinvald/autorand-rs,cdb4b324982dc935b89cc346392c26e873b559a3,2019-04-24,bugfix,fix: floating point arithmetic error causing mismatches when used with serde_json,src/lib.rs|test_crate/src/lib.rs,2,43,336,917,581
acw__simple_asn1__7c8e01f5,acw/simple_asn1,7c8e01f5b2c7c2659c8bf5db0c25a124deb62a88,2019-09-12,bugfix,BigUint(0) bug fixed (encode_base127),src/lib.rs,1,13,712,991,279
AsfhtgkDavid__theshit__9c835d2c,AsfhtgkDavid/theshit,9c835d2cb0b98566cc91d487f4e9f45bbb1281a5,2025-11-01,bugfix,test: fix test with equals sign,src/shells/bash.rs|src/shells/zsh.rs,2,10,700,778,78
longshorej__conqueue__efb2d475,longshorej/conqueue,efb2d47507cd9d37444eedb2f2d20410dd476101,2019-08-28,bugfix,Handle orphaned items,src/lib.rs,1,71,1832,2026,194
mersinvald__autorand-rs__fa7c0186,mersinvald/autorand-rs,fa7c0186adb89170fc7fd9d4cab7ab6106407c7c,2019-04-24,bugfix,fix: generation fail on trailing comma in where clause,autorand-derive/src/lib.rs,1,22,1354,1402,48
thepowersgang__stack_dst-rs__e059cc8f,thepowersgang/stack_dst-rs,e059cc8fc8033807b329af21fae03edaefe34488,2020-01-12,bugfix,"Fix trait impls, add `new_or_boxed` to fall back to boxing if the object can't fit",src/lib.rs|src/value.rs|src/value/trait_impls.rs,3,63,960,1318,358
qwertz19281__rust_utils__473447e7,qwertz19281/rust_utils,473447e77a14d935b705088a134f1cc71633311e,2020-01-24,bugfix,tuple avg; fixed rc size,src/imp/tuple.rs|src/refc/imp.rs,2,40,344,634,290
johnshaw__magnetic__07484446,johnshaw/magnetic,074844463245727ae9c4192f7d0a6ec0a4ae6feb,2020-11-29,bugfix,Add T: Send for Send impls of producer/consumer Fix for issue #9 .,src/mpmc.rs|src/mpsc.rs|src/spmc.rs|src/spsc.rs,4,26,240,264,24
tmccombs__tls-listener__6bd78b65,tmccombs/tls-listener,6bd78b6541074524030343150f11ddeec298cef6,2023-09-28,bugfix,feat!: Add a new error type for handshake timeouts,src/lib.rs,1,23,1447,1630,183
Alexhuszagh__rust-stackvector__ea3f7c9a,Alexhuszagh/rust-stackvector,ea3f7c9a647e19981c2302ef6d68d0774cf379e8,2021-04-12,bugfix,Fixed a compiler regression optimizing to None with Option<StackVec>,src/lib.rs,1,41,2214,2410,196
